LOCATION,TIME,Unemployment,CPI,P/E,Open,High,Low,Close
USA,2003-03,5.9,3.020134,27.92,834.81,895.89,788.94,848.18
USA,2003-04,6,2.224694,28.05,858.48,924.24,847.95,916.92
USA,2003-05,6.1,2.057842,28.24,916.3,965.11,903.17,963.59
USA,2003-06,6.3,2.112285,28.6,967,1015.26,963.59,974.5
USA,2003-07,6.2,2.109939,27.65,982.32,1015.36,962.13,990.31
USA,2003-08,6.1,2.158273,26.57,980.15,1011.01,960.84,1008.01
USA,2003-09,6.1,2.320442,26.42,1021.99,1040.29,990.36,995.97
USA,2003-10,6,2.040816,24.75,1018.22,1053.79,995.97,1050.71
USA,2003-11,5.8,1.76503,23.15,1059.02,1063.65,1031.2,1058.2
USA,2003-12,5.7,1.879491,22.17,1070.12,1112.56,1053.41,1111.92
USA,2004-01,5.7,1.926252,22.73,1108.48,1155.38,1105.08,1131.13
USA,2004-02,5.6,1.693064,22.46,1135.26,1158.98,1124.44,1144.94
USA,2004-03,5.8,1.737242,21.61,1155.96,1163.23,1087.06,1126.21
USA,2004-04,5.6,2.285093,21.23,1132.17,1150.57,1107.23,1107.3
USA,2004-05,5.6,3.051771,20.14,1117.49,1127.74,1076.32,1120.68
USA,2004-06,5.6,3.266195,20.17,1121.2,1146.34,1113.32,1140.84
USA,2004-07,5.5,2.990756,19.51,1128.94,1140.84,1078.78,1101.72
USA,2004-08,5.4,2.654388,19.03,1106.62,1109.68,1062.23,1104.24
USA,2004-09,5.4,2.537797,19.35,1105.91,1131.54,1099.11,1114.58
USA,2004-10,5.5,3.189189,19.25,1131.5,1142.05,1090.19,1130.2
USA,2004-11,5.4,3.523035,20.05,1130.51,1188.46,1127.53,1173.82
USA,2004-12,5.4,3.255562,20.48,1191.37,1217.33,1173.76,1211.92
USA,2005-01,5.3,2.969762,19.99,1202.08,1217.9,1163.75,1181.27
USA,2005-02,5.4,3.007519,20.11,1189.41,1212.44,1180.95,1203.6
USA,2005-03,5.2,3.148346,19.84,1210.41,1229.11,1163.69,1180.59
USA,2005-04,5.2,3.510638,19.02,1172.92,1191.88,1136.15,1156.85
USA,2005-05,5.1,2.80275,18.93,1162.16,1199.56,1146.18,1191.5
USA,2005-06,5,2.530311,19,1202.27,1219.59,1188.3,1191.33
USA,2005-07,5,3.167899,19,1194.44,1245.15,1183.55,1234.18
USA,2005-08,4.9,3.641161,18.72,1235.35,1245.86,1201.07,1220.33
USA,2005-09,5,4.686677,18.44,1221.59,1243.13,1205.35,1228.81
USA,2005-10,5,4.347826,17.64,1226.7,1233.34,1168.2,1207.01
USA,2005-11,5,3.455497,18.01,1202.76,1270.64,1201.07,1249.48
USA,2005-12,4.9,3.415659,18.07,1264.67,1275.8,1246.59,1248.29
USA,2006-01,4.7,3.985317,18.07,1268.8,1294.9,1245.74,1280.08
USA,2006-02,4.8,3.597497,17.8,1282.46,1297.57,1253.61,1280.66
USA,2006-03,4.7,3.362649,17.8,1291.24,1310.88,1268.42,1294.83
USA,2006-04,4.7,3.545735,17.77,1297.81,1318.16,1280.74,1310.61
USA,2006-05,4.6,4.166667,17.46,1305.19,1326.7,1245.34,1270.09
USA,2006-06,4.6,4.318766,16.82,1285.71,1290.68,1219.29,1270.2
USA,2006-07,4.7,4.145343,16.61,1280.19,1280.42,1224.54,1276.66
USA,2006-08,4.7,3.818737,16.67,1270.92,1306.74,1261.3,1303.82
USA,2006-09,4.5,2.062374,16.77,1311.01,1340.28,1290.93,1335.85
USA,2006-10,4.4,1.305221,17.14,1331.32,1389.45,1327.1,1377.94
USA,2006-11,4.5,1.973684,17.24,1367.81,1407.89,1360.98,1400.63
USA,2006-12,4.4,2.54065,17.38,1396.71,1431.81,1385.93,1418.3
USA,2007-01,4.6,2.075643,17.36,1416.6,1441.61,1403.97,1438.24
USA,2007-02,4.5,2.415199,17.49,1445.94,1461.57,1389.42,1406.82
USA,2007-03,4.4,2.778779,16.92,1403.17,1438.89,1363.98,1420.86
USA,2007-04,4.5,2.573697,17.48,1424.55,1498.02,1416.37,1482.37
USA,2007-05,4.4,2.690864,17.92,1486.3,1535.56,1476.7,1530.62
USA,2007-06,4.6,2.687038,17.83,1536.34,1540.56,1484.18,1503.35
USA,2007-07,4.7,2.358231,18.36,1519.43,1555.9,1454.22,1455.27
USA,2007-08,4.6,1.970083,18.02,1465.81,1503.41,1370.6,1473.99
USA,2007-09,4.7,2.755052,19.05,1489.42,1538.74,1439.29,1526.75
USA,2007-10,4.7,3.536175,20.68,1547.04,1576.09,1489.56,1549.38
USA,2007-11,4.7,4.306203,20.81,1508.44,1545.79,1406.1,1481.14
USA,2007-12,5,4.081269,22.35,1472.42,1523.57,1435.65,1468.36
USA,2008-01,5,4.280294,21.46,1447.16,1471.77,1270.05,1378.55
USA,2008-02,4.9,4.026556,21.74,1381.72,1396.02,1316.75,1330.63
USA,2008-03,5.1,3.981456,21.81,1329.68,1359.68,1256.98,1322.7
USA,2008-04,5,3.93689,23.88,1340.94,1404.57,1324.35,1385.59
USA,2008-05,5.4,4.175543,25.81,1384.23,1440.24,1373.07,1400.38
USA,2008-06,5.6,5.02179,26.11,1395.74,1404.05,1272,1280
